"SeriesType","matchi Manufacturer","match SeriesDescription","matchi SeriesDescription","match SequenceName","match ScanningSequence","match SequenceLabel","matchi SequenceLabel","exact SequenceVariant","match ImageType","exact MRAcquisitionType","exact magnitude_flag","match rfrxcoiltype","match ScanOptions","expr FlipAngle","exact InversionTime","expr InversionTime","expr RepetitionTime","exact ndiffdirs","exact nimgs","expr nimgs","expr SliceThickness","exact Rows","exact Columns","exact NumberOfPhaseEncodingSteps","expr NumberOfPhaseEncodingSteps","exact pepolar","exact pe_rev_flag","exact pe_for_flag","expr pe_extra_val","expr InPlaneRot","expr tensor_fnum","set pepolar","set nb0","set bval","set ndiffdirs","set gradwarpinfo_dot_unwarpflag"
"DTI","SIEMENS",,,"epse2d1_96",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,
"BOLD_pep","SIEMENS",,,"epse2d1_64",,,,,,,,,,,,,,,2,,,,,,,,,,"> 4",,,2,1,,,
"BOLD_pep","SIEMENS",,,"epse2d1_64",,,,,,,,,,,,,,,2,,,,,,,,,,"> 4",,,3,1,,,
"BOLD_SE","SIEMENS",,,"epse2d1_64",,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,0
"BOLD_SE","SIEMENS",,,"epse2d1_64",,,,,,,,,,,,,,,,,,,,,,,,,"> 4",,,1,1,,,0
"BOLD_SE","SIEMENS",,,"epse2d1_64",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,0
"BOLD_SE","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,"<= 64",,1,,,,,1,,,,0
"BOLD_SE","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,"<= 64",,,,,"> 0.2",,1,,,,0
"DTI_rev","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,
"DTI_rev","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,,,,,,"> 0.2",,1,,,,
"BOLD_SE","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,"<= 64",,,1,,,,0,,,,0
"BOLD_SE","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,"<= 64",,,,,"> 0.2",,0,,,,0
"DTI","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,,,,
"DTI","SIEMENS",,,"ep_b",,,,,,,,,,,,,,,,,,,,,,,,,,"> 0.2",,0,,,,
"LOCALIZER","SIEMENS",,,"fl2d1",,,,,,"2D",,,,,,,,,,"<= 6",,,,,,,,,,,,,,,,
"UNKNOWN","SIEMENS",,,"fl3d1_ns$",,,,,,,,"UNKNOWN",,,,,,,,,,128,128,128,,,,,,,,,,,,
"B1BC_mag","SIEMENS",,,"fl3d1_ns$",,,,,,,1,"BODY",,,,,,,,,,128,128,128,,,,,,,,,,,,
"B1BC_phi","SIEMENS",,,"fl3d1_ns$",,,,,,,,"BODY",,,,,,,,,,128,128,128,,,,,,,,,,,,
"B1HC_mag","SIEMENS",,,"fl3d1_ns$",,,,,,,1,,,,,,,,,,,128,128,128,,,,,,,,,,,,
"B1HC_phi","SIEMENS",,,"fl3d1_ns$",,,,,,,,,,,,,,,,,,128,128,128,,,,,,,,,,,,
"TSE2D","SIEMENS",,,"tse2d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BOLD_td","SIEMENS",,,"epfid2d1",,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,0
"BOLD_bu","SIEMENS",,,"epfid2d1",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
